ID,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Country,Monetary,Frequency,Recency
,,,,,,,,,,,,,0,0,
8432,9/14/2012,454,0,171,8,19,32,9,2,8,8,SP,684,19,0
,,,,,,,,,,,,,0,0,
453,6/29/2014,27,0,12,0,1,5,2,0,3,5,SP,45,5,1
,,,,,,,,,,,,,0,0,
9687,5/31/2014,184,174,256,50,30,32,5,4,6,2,CA,726,15,1
,,,,,,,,,,,,,0,0,
8890,5/30/2014,155,7,80,13,7,10,5,1,5,6,SP,272,11,1
,,,,,,,,,,,,,0,0,
9264,4/27/2014,423,42,706,73,197,197,4,8,9,2,CA,1638,21,1
,,,,,,,,,,,,,0,0,
5824,4/11/2014,7,0,1,0,0,0,1,0,2,6,AUS,8,3,1
,,,,,,,,,,,,,0,0,
5794,3/17/2014,408,0,21,0,0,17,7,1,7,8,IND,446,15,1
,,,,,,,,,,,,,0,0,
3068,10/29/2013,1,12,9,0,14,7,2,0,3,7,SP,43,5,1
,,,,,,,,,,,,,0,0,
7962,10/9/2013,1285,21,449,106,20,20,4,3,4,1,SP,1901,11,1
,,,,,,,,,,,,,0,0,
2681,8/1/2013,71,22,112,138,89,29,2,3,13,1,SP,461,18,1
,,,,,,,,,,,,,0,0,
10141,5/10/2013,7,1,6,0,3,3,0,0,3,4,SA,20,3,1
,,,,,,,,,,,,,0,0,
3725,5/9/2013,1248,16,349,43,16,16,2,4,9,4,SP,1688,15,1
,,,,,,,,,,,,,0,0,
3767,4/25/2013,378,0,189,97,172,172,5,5,12,3,SP,1008,22,1
,,,,,,,,,,,,,0,0,
5585,4/20/2013,12,2,17,6,1,10,2,0,3,8,CA,48,5,1
,,,,,,,,,,,,,0,0,
7030,3/30/2013,1200,0,204,38,29,14,11,9,12,6,SP,1485,32,1
,,,,,,,,,,,,,0,0,
1524,3/1/2013,709,45,115,30,160,45,8,2,5,5,SP,1104,15,1
,,,,,,,,,,,,,0,0,
3657,2/14/2013,94,1,33,13,12,12,4,0,4,8,SP,165,8,1
,,,,,,,,,,,,,0,0,
5740,2/14/2013,4,2,12,7,5,26,1,2,2,6,SP,56,5,1
,,,,,,,,,,,,,0,0,
9595,1/11/2013,539,169,816,20,0,30,4,5,4,3,SP,1574,13,1
,,,,,,,,,,,,,0,0,
3158,1/3/2013,13,3,6,6,5,6,1,0,3,8,SP,39,4,1
,,,,,,,,,,,,,0,0,
5114,12/19/2012,670,9,249,0,28,9,5,4,5,4,AUS,965,14,1
,,,,,,,,,,,,,0,0,
340,12/15/2012,158,35,179,0,0,125,7,2,8,5,GER,497,17,1
,,,,,,,,,,,,,0,0,
8805,12/2/2012,283,10,38,0,13,27,7,2,4,8,US,371,13,1
,,,,,,,,,,,,,0,0,
1241,9/17/2012,13,3,8,7,4,16,1,0,3,9,GER,51,4,1
,,,,,,,,,,,,,0,0,
1402,9/11/2012,496,36,460,189,60,12,4,8,6,3,GER,1253,18,1
,,,,,,,,,,,,,0,0,
7264,5/12/2014,12,0,4,0,0,1,1,0,2,8,SA,17,3,2
,,,,,,,,,,,,,0,0,
1619,4/28/2014,292,51,981,224,23,17,4,6,6,1,SP,1588,16,2
,,,,,,,,,,,,,0,0,
6398,3/29/2014,7,10,13,16,0,4,3,0,3,8,SP,50,6,2
,,,,,,,,,,,,,0,0,
1857,3/6/2014,46,0,12,0,2,23,2,1,2,7,SP,83,5,2
,,,,,,,,,,,,,0,0,
4877,3/4/2014,34,0,7,0,0,0,1,0,3,7,IND,41,4,2
,,,,,,,,,,,,,0,0,
3066,2/4/2014,167,0,43,6,2,13,4,2,4,5,SA,231,10,2
,,,,,,,,,,,,,0,0,
10286,2/3/2014,318,8,407,150,35,8,2,8,13,0,SA,926,23,2
,,,,,,,,,,,,,0,0,
1992,1/1/2014,522,0,257,32,16,66,2,2,8,7,SP,893,12,2
,,,,,,,,,,,,,0,0,
4246,12/12/2013,67,11,26,4,3,262,1,0,1,17,SP,373,2,2
,,,,,,,,,,,,,0,0,
10623,11/15/2013,28,0,4,0,0,0,1,0,3,5,SP,32,4,2
,,,,,,,,,,,,,0,0,
4867,9/20/2013,58,0,18,2,0,10,3,0,4,7,SP,88,7,2
,,,,,,,,,,,,,0,0,
3112,9/5/2013,2,4,9,0,4,5,1,0,3,5,SP,24,4,2
,,,,,,,,,,,,,0,0,
4865,8/31/2013,229,7,140,10,3,11,5,1,8,7,AUS,400,14,2
,,,,,,,,,,,,,0,0,
6287,7/30/2013,14,0,16,0,0,6,1,1,2,6,SP,36,4,2
,,,,,,,,,,,,,0,0,
4405,7/30/2013,622,7,115,30,0,15,6,3,12,5,AUS,789,21,2
,,,,,,,,,,,,,0,0,
5332,7/27/2013,362,50,431,134,35,54,3,6,7,1,IND,1066,16,2
,,,,,,,,,,,,,0,0,
1519,6/22/2013,38,4,22,3,3,3,3,0,3,8,SP,73,6,2
,,,,,,,,,,,,,0,0,
9080,6/22/2013,38,4,22,3,3,3,3,0,3,8,SP,73,6,2
,,,,,,,,,,,,,0,0,
1772,1/11/2013,1074,37,518,193,92,129,5,6,7,2,CA,2043,18,2
,,,,,,,,,,,,,0,0,
5341,1/5/2013,983,76,184,180,138,27,6,3,4,7,SA,1588,13,2
,,,,,,,,,,,,,0,0,
5510,11/21/2012,262,6,61,0,10,102,5,2,6,5,SP,441,13,2
,,,,,,,,,,,,,0,0,
3887,11/11/2012,3,17,26,20,1,39,2,0,3,9,IND,106,5,2
,,,,,,,,,,,,,0,0,
7022,9/28/2012,739,107,309,140,80,35,2,5,13,6,SA,1410,20,2
,,,,,,,,,,,,,0,0,
9999,9/27/2012,610,105,125,137,42,21,9,4,9,5,SP,1040,22,2
,,,,,,,,,,,,,0,0,
10352,9/7/2012,50,4,28,6,3,26,3,1,2,9,SA,117,6,2
,,,,,,,,,,,,,0,0,
7919,8/13/2012,1285,105,653,28,21,0,10,4,8,8,SP,2092,22,2
,,,,,,,,,,,,,0,0,
4114,8/11/2012,650,37,780,27,167,32,6,9,13,3,AUS,1693,28,2
,,,,,,,,,,,,,0,0,
7990,8/2/2012,9,1,2,3,2,0,0,0,3,6,CA,17,3,2
,,,,,,,,,,,,,0,0,
9888,6/25/2014,458,81,356,106,50,40,4,4,7,2,SP,1091,15,3
,,,,,,,,,,,,,0,0,
4399,6/25/2014,458,81,356,106,50,40,4,4,7,2,CA,1091,15,3
,,,,,,,,,,,,,0,0,
4452,5/28/2014,292,6,37,0,3,34,6,1,6,7,GER,372,13,3
,,,,,,,,,,,,,0,0,
4785,4/14/2014,520,7,154,19,0,14,6,3,11,3,SA,714,20,3
,,,,,,,,,,,,,0,0,
8461,3/10/2014,14,0,1,0,0,1,1,0,2,7,SP,16,3,3
,,,,,,,,,,,,,0,0,
3878,2/27/2014,3,4,7,15,8,11,1,0,3,7,SP,48,4,3
,,,,,,,,,,,,,0,0,
9612,2/7/2014,1,8,6,4,8,16,1,0,3,7,SP,43,4,3
,,,,,,,,,,,,,0,0,
4098,1/28/2014,20,3,16,0,4,1,2,0,4,6,AUS,44,6,3
,,,,,,,,,,,,,0,0,
158,11/17/2013,345,53,528,98,75,97,8,3,5,4,SP,1196,16,3
,,,,,,,,,,,,,0,0,
3896,11/7/2013,22,1,11,0,1,2,1,0,3,7,SP,37,4,3
,,,,,,,,,,,,,0,0,
9970,10/17/2013,42,11,57,10,28,14,1,1,6,2,CA,162,8,3
,,,,,,,,,,,,,0,0,
4002,10/13/2013,463,96,333,168,53,10,7,7,12,3,SP,1123,26,3
,,,,,,,,,,,,,0,0,
10914,10/12/2013,4,1,7,2,1,2,1,0,3,4,SP,17,4,3
,,,,,,,,,,,,,0,0,
7279,9/30/2013,260,86,559,63,9,67,4,6,4,2,US,1044,14,3
,,,,,,,,,,,,,0,0,
10582,7/3/2013,180,32,348,76,32,90,5,2,12,2,GER,758,19,3
,,,,,,,,,,,,,0,0,
4470,6/10/2013,62,1,44,6,5,22,2,1,4,4,SP,140,7,3
,,,,,,,,,,,,,0,0,
6183,6/10/2013,62,1,44,6,5,22,2,1,4,4,GER,140,7,3
,,,,,,,,,,,,,0,0,
6379,5/29/2013,67,1,20,0,2,31,2,2,2,7,US,121,6,3
,,,,,,,,,,,,,0,0,
8601,4/29/2013,421,76,536,82,178,102,8,6,5,4,AUS,1395,19,3
,,,,,,,,,,,,,0,0,
4827,3/10/2013,154,22,202,39,30,8,4,2,9,4,SP,455,15,3
,,,,,,,,,,,,,0,0,
6715,1/2/2013,502,19,132,0,6,26,6,2,11,6,SP,685,19,3
,,,,,,,,,,,,,0,0,
10676,11/2/2012,145,193,459,205,26,145,3,8,7,2,SP,1173,18,3
,,,,,,,,,,,,,0,0,
1041,10/18/2012,322,3,50,4,3,42,7,1,6,8,SA,424,14,3
,,,,,,,,,,,,,0,0,
492,10/18/2012,322,3,50,4,3,42,7,1,6,8,CA,424,14,3
,,,,,,,,,,,,,0,0,
11133,10/18/2012,322,3,50,4,3,42,7,1,6,8,IND,424,14,3
,,,,,,,,,,,,,0,0,
4491,10/1/2012,1099,0,45,0,0,34,3,4,10,8,SP,1178,17,3
,,,,,,,,,,,,,0,0,
873,10/1/2012,1099,0,45,0,0,34,3,4,10,8,SP,1178,17,3
,,,,,,,,,,,,,0,0,
1631,9/3/2012,890,63,292,0,25,12,8,4,7,6,GER,1282,19,3
,,,,,,,,,,,,,0,0,
8278,8/26/2012,863,83,547,86,99,33,8,2,5,5,SP,1711,15,3
,,,,,,,,,,,,,0,0,
6815,5/23/2014,448,21,125,52,101,62,7,6,8,2,SP,809,21,4
,,,,,,,,,,,,,0,0,
254,5/17/2014,399,4,30,6,4,30,7,1,7,7,SP,473,15,4
,,,,,,,,,,,,,0,0,
1349,4/21/2014,85,7,24,2,3,27,3,1,3,6,IND,148,7,4
,,,,,,,,,,,,,0,0,
2534,4/21/2014,97,1,41,6,2,41,4,1,3,7,AUS,188,8,4
,,,,,,,,,,,,,0,0,
2130,3/23/2014,35,3,67,10,8,24,3,1,3,6,SA,147,7,4
,,,,,,,,,,,,,0,0,
2296,12/16/2013,3,2,11,2,2,10,1,0,2,6,SP,30,3,4
,,,,,,,,,,,,,0,0,
3799,11/26/2013,315,35,322,46,7,143,7,2,11,5,US,868,20,4
,,,,,,,,,,,,,0,0,
11084,11/14/2013,738,0,232,13,20,50,3,5,7,7,CA,1053,15,4
,,,,,,,,,,,,,0,0,
5172,11/14/2013,738,0,232,13,20,50,3,5,7,7,SP,1053,15,4
,,,,,,,,,,,,,0,0,
9504,11/6/2013,179,28,520,111,123,47,3,8,13,1,SP,1008,24,4
,,,,,,,,,,,,,0,0,
850,10/6/2013,381,28,215,84,28,21,6,5,9,3,SP,757,20,4
,,,,,,,,,,,,,0,0,
4477,9/27/2013,247,49,159,7,82,109,5,2,10,4,GER,653,17,4
,,,,,,,,,,,,,0,0,
1945,9/18/2013,711,36,217,172,96,168,7,4,7,4,SP,1400,18,4
,,,,,,,,,,,,,0,0,
7685,9/9/2013,30,8,12,8,8,12,2,0,4,5,SP,78,6,4
,,,,,,,,,,,,,0,0,
6310,9/9/2013,30,8,12,8,8,12,2,0,4,5,CA,78,6,4
,,,,,,,,,,,,,0,0,
10832,7/18/2013,288,10,30,4,10,125,6,1,6,6,SP,467,13,4
,,,,,,,,,,,,,0,0,
3025,7/8/2013,212,6,69,4,12,3,6,1,5,7,CA,306,12,4
,,,,,,,,,,,,,0,0,
2404,5/27/2013,173,4,30,3,6,41,5,1,4,7,US,257,10,4
,,,,,,,,,,,,,0,0,
8581,3/5/2013,604,0,100,19,0,28,10,2,8,8,SP,751,20,4
,,,,,,,,,,,,,0,0,
8755,2/20/2013,482,34,471,119,68,22,3,5,9,7,AUS,1196,17,4
,,,,,,,,,,,,,0,0,
10177,2/14/2013,531,69,300,150,138,150,5,4,8,2,SP,1338,17,4
,,,,,,,,,,,,,0,0,
2429,2/14/2013,531,69,300,150,138,150,5,4,8,2,CA,1338,17,4
,,,,,,,,,,,,,0,0,
8920,1/12/2013,448,40,469,80,0,91,11,2,12,7,IND,1128,25,4
,,,,,,,,,,,,,0,0,
8430,12/24/2012,9,0,6,3,1,3,0,0,3,5,AUS,22,3,4
,,,,,,,,,,,,,0,0,
8619,12/24/2012,9,0,6,3,1,3,0,0,3,5,SP,22,3,4
,,,,,,,,,,,,,0,0,
7233,9/17/2012,496,32,849,229,48,128,5,3,6,4,CA,1782,14,4
,,,,,,,,,,,,,0,0,
6678,3/28/2014,33,4,24,4,2,5,3,0,4,7,IND,72,7,5
,,,,,,,,,,,,,0,0,
830,2/24/2014,784,48,560,42,176,48,4,6,4,3,IND,1658,14,5
,,,,,,,,,,,,,0,0,
6365,9/2/2013,10,12,12,25,1,20,2,0,3,6,IND,80,5,5
,,,,,,,,,,,,,0,0,
6770,8/20/2013,5,13,14,0,5,31,2,1,2,6,US,68,5,5
,,,,,,,,,,,,,0,0,
2261,6/23/2013,4,1,5,2,0,4,1,0,2,7,GER,16,3,5
,,,,,,,,,,,,,0,0,
1031,5/5/2013,600,20,350,29,30,33,6,9,10,2,IND,1062,25,5
,,,,,,,,,,,,,0,0,
10089,4/5/2013,168,148,444,32,172,148,6,9,13,2,SA,1112,28,5
,,,,,,,,,,,,,0,0,
9256,1/4/2013,493,26,206,116,80,80,8,3,12,6,SP,1001,23,5
,,,,,,,,,,,,,0,0,
10641,12/27/2012,6,5,4,13,4,25,2,1,3,6,SP,57,6,5
,,,,,,,,,,,,,0,0,
624,11/10/2012,6,4,1,7,2,15,0,1,2,6,SA,35,3,5
,,,,,,,,,,,,,0,0,
4211,10/29/2012,4,12,5,3,16,17,2,0,3,7,CA,57,5,5
,,,,,,,,,,,,,0,0,
1407,10/29/2012,4,12,5,3,16,17,2,0,3,7,GER,57,5,5
,,,,,,,,,,,,,0,0,
10356,9/22/2012,29,0,2,0,0,1,1,0,3,7,SP,32,4,5
,,,,,,,,,,,,,0,0,
9323,9/7/2012,520,8,223,32,49,42,10,5,7,8,ME,874,22,5
,,,,,,,,,,,,,0,0,
1146,9/7/2012,520,8,223,32,49,42,10,5,7,8,AUS,874,22,5
,,,,,,,,,,,,,0,0,
6343,3/31/2014,835,73,380,114,73,43,6,9,7,2,AUS,1518,22,6
,,,,,,,,,,,,,0,0,
8545,3/21/2014,1296,17,311,45,69,51,2,4,10,1,SP,1789,16,6
,,,,,,,,,,,,,0,0,
8275,2/9/2014,16,0,3,0,0,1,1,0,2,7,SP,20,3,6
,,,,,,,,,,,,,0,0,
10673,11/17/2013,760,80,466,17,13,80,6,9,5,3,SA,1416,20,6
,,,,,,,,,,,,,0,0,
8799,9/23/2013,70,6,69,2,3,3,3,1,4,7,SP,153,8,6
,,,,,,,,,,,,,0,0,
67,9/18/2013,68,0,16,0,0,8,2,0,4,7,SP,92,6,6
,,,,,,,,,,,,,0,0,
9923,9/18/2013,68,0,16,0,0,8,2,0,4,7,SP,92,6,6
,,,,,,,,,,,,,0,0,
2814,6/27/2013,9,1,5,4,5,7,1,0,3,7,SA,31,4,6
,,,,,,,,,,,,,0,0,
2711,6/27/2013,9,1,5,4,5,7,1,0,3,7,CA,31,4,6
,,,,,,,,,,,,,0,0,
4320,3/28/2013,325,83,300,86,58,91,6,4,12,3,SP,943,22,6
,,,,,,,,,,,,,0,0,
10451,3/12/2013,9,1,3,0,4,8,0,0,3,6,SA,25,3,6
,,,,,,,,,,,,,0,0,
4198,3/12/2013,9,1,3,0,4,8,0,0,3,6,SP,25,3,6
,,,,,,,,,,,,,0,0,
10814,1/16/2013,303,23,751,82,26,191,6,5,13,4,SP,1376,24,6
,,,,,,,,,,,,,0,0,
944,1/8/2013,121,103,69,8,44,48,4,2,7,4,SP,393,13,6
,,,,,,,,,,,,,0,0,
8151,12/29/2012,16,36,21,20,62,108,4,1,3,8,SP,263,8,6
,,,,,,,,,,,,,0,0,
6184,12/12/2012,561,64,785,84,128,48,3,3,8,1,SP,1670,14,6
,,,,,,,,,,,,,0,0,
3498,11/25/2012,462,61,184,10,53,107,7,5,9,6,SP,877,21,6
,,,,,,,,,,,,,0,0,
2870,9/21/2012,376,0,38,11,8,69,6,3,6,6,SP,502,15,6
,,,,,,,,,,,,,0,0,
7342,9/9/2012,341,142,113,259,151,66,6,6,12,5,SP,1072,24,6
,,,,,,,,,,,,,0,0,
1911,9/5/2012,595,97,291,127,133,121,11,5,12,6,GER,1364,28,6
,,,,,,,,,,,,,0,0,
10862,8/17/2012,179,8,83,19,11,26,1,2,9,2,SP,326,12,6
,,,,,,,,,,,,,0,0,
2546,6/22/2014,23,4,5,10,5,23,1,0,4,3,SP,70,5,7
,,,,,,,,,,,,,0,0,
3005,5/1/2014,530,117,678,134,44,147,4,10,8,1,SP,1650,22,7
,,,,,,,,,,,,,0,0,
8318,1/3/2014,594,134,786,33,134,57,5,6,8,1,SP,1738,19,7
,,,,,,,,,,,,,0,0,
2930,12/16/2013,852,60,207,78,36,48,2,6,10,5,SA,1281,18,7
,,,,,,,,,,,,,0,0,
8216,10/11/2013,158,0,76,13,7,71,4,4,3,5,AUS,325,11,7
,,,,,,,,,,,,,0,0,
1212,8/13/2013,384,25,292,130,41,64,8,8,6,6,SP,936,22,7
,,,,,,,,,,,,,0,0,
2541,6/9/2013,14,7,11,11,0,5,2,0,3,8,SP,48,5,7
,,,,,,,,,,,,,0,0,
10659,5/7/2013,2,8,11,3,8,21,3,2,2,7,IND,53,7,7
,,,,,,,,,,,,,0,0,
10905,10/29/2012,194,2,56,0,0,0,4,1,6,8,SP,252,11,7
,,,,,,,,,,,,,0,0,
8910,10/29/2012,194,2,56,0,0,0,4,1,6,8,SP,252,11,7
,,,,,,,,,,,,,0,0,
7349,10/2/2012,6,17,16,6,16,42,3,1,3,8,SP,103,7,7
,,,,,,,,,,,,,0,0,
7872,9/12/2012,179,21,273,0,21,63,6,10,6,5,SP,557,22,7
,,,,,,,,,,,,,0,0,
4290,3/19/2014,1,3,8,2,5,5,1,0,2,7,CA,24,3,8
,,,,,,,,,,,,,0,0,
7408,3/3/2014,216,2,6,0,0,9,5,1,4,7,SA,233,10,8
,,,,,,,,,,,,,0,0,
9986,2/22/2014,16,0,23,3,2,10,4,1,2,7,SA,54,7,8
,,,,,,,,,,,,,0,0,
8235,1/24/2014,428,30,214,80,30,61,6,5,10,3,SA,843,21,8
,,,,,,,,,,,,,0,0,
10949,12/16/2013,1092,37,592,145,37,55,5,5,8,3,SP,1958,18,8
,,,,,,,,,,,,,0,0,
7284,12/4/2013,10,0,7,2,0,1,1,0,2,8,SP,20,3,8
,,,,,,,,,,,,,0,0,
9529,11/28/2013,559,153,503,218,13,181,3,9,9,2,SA,1627,21,8
,,,,,,,,,,,,,0,0,
9930,11/5/2013,606,148,228,15,148,22,6,8,13,2,CA,1167,27,8
,,,,,,,,,,,,,0,0,
10270,10/3/2013,11,5,22,12,5,11,3,0,3,7,GER,66,6,8
,,,,,,,,,,,,,0,0,
760,8/9/2013,588,7,76,110,15,15,8,4,9,6,SA,811,21,8
,,,,,,,,,,,,,0,0,
5519,8/7/2013,316,58,161,76,51,135,6,9,4,5,SA,797,19,8
,,,,,,,,,,,,,0,0,
232,7/17/2013,279,83,88,32,14,34,4,2,10,3,SP,530,16,8
,,,,,,,,,,,,,0,0,
3009,7/9/2013,1462,16,128,0,0,160,5,3,6,6,SP,1766,14,8
,,,,,,,,,,,,,0,0,
6518,6/11/2013,546,0,48,0,6,6,7,3,8,5,AUS,606,18,8
,,,,,,,,,,,,,0,0,
10669,5/17/2013,277,21,64,62,21,25,3,2,10,3,SP,470,15,8
,,,,,,,,,,,,,0,0,
5682,3/23/2013,948,10,86,13,21,21,6,9,11,5,AUS,1099,26,8
,,,,,,,,,,,,,0,0,
1570,2/19/2013,664,9,240,50,19,57,7,7,10,4,SP,1039,24,8
,,,,,,,,,,,,,0,0,
1497,1/19/2013,268,11,88,15,3,22,6,3,5,5,SA,407,14,8
,,,,,,,,,,,,,0,0,
9723,1/10/2013,530,142,217,62,9,56,7,4,13,5,CA,1016,24,8
,,,,,,,,,,,,,0,0,
7261,1/1/2013,199,33,60,8,3,15,5,2,5,8,SP,318,12,8
,,,,,,,,,,,,,0,0,
2452,1/1/2013,199,33,60,8,3,15,5,2,5,8,SP,318,12,8
,,,,,,,,,,,,,0,0,
5621,12/12/2012,73,57,100,71,15,0,6,1,5,9,SP,316,12,8
,,,,,,,,,,,,,0,0,
10995,11/12/2012,16,5,30,8,7,26,3,0,4,8,SA,92,7,8
,,,,,,,,,,,,,0,0,
7373,10/29/2012,96,12,96,33,22,43,4,1,6,6,AUS,302,11,8
,,,,,,,,,,,,,0,0,
5331,9/11/2012,587,51,898,247,0,86,3,6,7,2,GER,1869,16,8
,,,,,,,,,,,,,0,0,
263,5/28/2014,56,19,29,2,14,25,3,1,3,8,SP,145,7,9
,,,,,,,,,,,,,0,0,
4619,5/28/2014,6,2,3,1,262,3,27,0,0,1,SP,277,27,9
,,,,,,,,,,,,,0,0,
940,5/18/2014,158,11,99,15,11,17,3,2,7,3,SA,311,12,9
,,,,,,,,,,,,,0,0,
10084,5/18/2014,3,2,8,20,0,17,2,1,2,7,IND,50,5,9
,,,,,,,,,,,,,0,0,
6019,3/30/2014,45,3,9,4,4,7,1,2,2,6,SP,72,5,9
,,,,,,,,,,,,,0,0,
1463,3/29/2014,8,2,5,3,0,3,1,0,2,7,AUS,21,3,9
,,,,,,,,,,,,,0,0,
6424,1/30/2014,12,6,2,11,2,16,1,0,3,4,SP,49,4,9
,,,,,,,,,,,,,0,0,
8233,1/26/2014,508,5,21,7,5,10,7,3,7,5,CA,556,17,9
,,,,,,,,,,,,,0,0,
1515,1/22/2014,11,2,7,4,2,2,1,0,3,3,CA,28,4,9
,,,,,,,,,,,,,0,0,
10855,1/22/2014,234,14,77,19,10,42,4,1,8,5,SP,396,13,9
,,,,,,,,,,,,,0,0,
10909,1/15/2014,992,24,694,51,19,119,5,10,5,1,AUS,1899,20,9
,,,,,,,,,,,,,0,0,
3376,12/13/2013,125,6,73,8,4,19,3,1,6,4,SP,235,10,9
,,,,,,,,,,,,,0,0,
10232,11/5/2013,174,18,81,28,6,24,3,2,7,3,SP,331,12,9
,,,,,,,,,,,,,0,0,
5547,8/7/2013,1478,19,403,0,19,0,7,6,6,3,SP,1919,19,9
,,,,,,,,,,,,,0,0,
8362,8/7/2013,1478,19,403,0,19,0,7,6,6,3,SA,1919,19,9
,,,,,,,,,,,,,0,0,
3524,8/4/2013,80,1,60,4,6,16,5,1,2,9,SP,167,8,9
,,,,,,,,,,,,,0,0,
10095,5/1/2013,1001,12,240,16,12,12,5,4,10,2,CA,1293,19,9
,,,,,,,,,,,,,0,0,
8897,4/24/2013,392,5,91,28,26,112,7,3,7,8,GER,654,17,9
,,,,,,,,,,,,,0,0,
466,4/3/2013,388,14,218,91,14,21,4,3,13,2,SP,746,20,9
,,,,,,,,,,,,,0,0,
11025,2/3/2013,65,0,46,4,3,20,3,1,3,8,SP,138,7,9
,,,,,,,,,,,,,0,0,
2387,2/3/2013,177,2,71,3,2,20,5,2,4,8,SA,275,11,9
,,,,,,,,,,,,,0,0,
1618,1/2/2013,577,0,64,0,0,51,10,1,8,8,GER,692,19,9
,,,,,,,,,,,,,0,0,
25,11/16/2012,460,35,422,33,12,153,6,6,7,4,CA,1115,19,9
,,,,,,,,,,,,,0,0,
3277,8/3/2012,219,3,100,26,0,17,7,1,5,8,SP,365,13,9
,,,,,,,,,,,,,0,0,
8566,6/15/2014,5,0,3,0,0,1,1,0,2,7,SP,9,3,10
,,,,,,,,,,,,,0,0,
2634,4/18/2014,5,7,31,15,4,7,2,1,3,6,SP,69,6,10
,,,,,,,,,,,,,0,0,
8036,4/18/2014,31,1,13,7,2,9,2,1,4,4,SP,63,7,10
,,,,,,,,,,,,,0,0,
8159,4/1/2014,117,0,22,13,0,30,4,1,3,7,SP,182,8,10
,,,,,,,,,,,,,0,0,
7628,3/18/2014,30,5,24,6,3,8,2,0,4,5,SP,76,6,10
,,,,,,,,,,,,,0,0,
9597,2/10/2014,236,106,189,23,41,130,7,2,9,4,CA,725,18,10
,,,,,,,,,,,,,0,0,
1384,11/23/2013,6,4,14,8,8,22,2,1,2,8,US,62,5,10
,,,,,,,,,,,,,0,0,
10150,11/21/2013,464,28,873,29,18,37,7,4,7,2,SA,1449,18,10
,,,,,,,,,,,,,0,0,
